,year,country,case,complaining_work,defending_work,complaining_author,defending_author
0,2012,US,Peters v. West,Stronger,Stronger,Vince Peters,Kanye West
0,2012,TWN,People v. Xinru Wang,What Is Wrong with Love,Sleeping Beauty,Meiru Huang,Xinru Wang
0,2012,US,Poindexter v. EMI Record Group,Think Line Between Love and Hate,Washed Away,"Robert Poindexter, et al.",EMI Record Group
0,2012,PRC,Rui Hua Wang v. Qi Gang Chen,You and Me,You and Me,Rui Hua Wang,Qi Gang Chen
0,2012,US,"VMG Salsoul v Madonna Ciccone, et al.",Chicago Bus Stop,Vogue,"Vincent Montana, Richard Pettibone","Madonna Ciccone, Richard Pettibone"
0,2012,,"[INPLAY] Barobax v. Chakraborty, et al.",Soosan Khanoom,Pyaar Ki Pungi,Kevian Haghgoo et al.,Pritam Chakraborty 
0,2013,US,Loomis v. Cornish,Bright Red Chords,Domino,Will Loomis,Jessica Cornish
0,2014,US,"Francescatti v. Germanotta [""Lady Gaga""]",Juda,Judas,Rebecca Francescatti,Stefani Germanotta
0,2014,US,"Pringle v. Adams [""Black Eyed Peas""]",Take a Drive,I Gotta Feeling,Brian Pringle,"William Adams, et al."
0,2014,US,"TufAmerica, Inc. v. Warner Bros Music Corp., et al","Hook & Sling, Pt. I",Run This Town,Eddie Bo & The Soul Finders,"Shawn Carter (""Jay-Z"") et al."
0,2014,US,Mayimba Music v. Sony,Loca con su Tiguere,Loca con su Tiguere,Ramon Arias Vasquez,Eduard Edwin Bello Pou
0,2014,US,[INPLAY] Michael Skidmore v. Led Zeppelin,Taurus,Stairway to Heaven,Randy Wolfe,Jimmy Page
0,2015,US,Lane v. Knowles-Carter,X.O.X.O.,X.O.,Ahmad Javon Lane,Beyonce Knowles-Carter
0,2015,US,"New Old Music v. Gottwald, et al.",Zimba ku,Price Tag,Lenny Lee Goldsmith,"Jessica Cornish, et al."
0,2015,US,"Devin Copeland v. Justin Bieber, et al.",Someone to Love,Someone to Love,Devin Copeland,"Justin Bieber, et al."
0,2015,US,"TufAmerica v. Diamond, et al.",Say What; Drop the Bomb,Shadrach; Car Thief; Hold It,Trouble Funk [band],"Diamond, Horovitz, et al. [Beastie Boys]"
0,2015,US,"[INPLAY] Miles Floyd v. Rod Stewart, et al.",Corrine Corrina,Corrina Corrina,"American folk song, as performed by Bo Carter","American folk song, as performed by Rod Stewart"
0,2015,US,[INPLAY] Tom Petty v. Sam Smith,I Won't Back Down,Stay With Me,Tom Petty and Jeff Lynne,Sam Smith
0,2015,US,[INPLAY] Richard Friedman v. Hans Zimmer,To Our Fallen,Music score for “12 Years a Slave”,Richard Friedman,Hans Zimmer
0,2016,US,Fahmy v. Jay Z et al.,"Khosara, Khosara",Big Pimpin',Baligh Hamdi,Jay Z et al.
0,2016,DE,Kraftwerk v Setlur,Metall auf Metall,Nur mir,Kraftwerk,Sabrina Setlur
0,2016,US,Bowen v. Paisley,Remind Me,Remind Me,Amy Bowen,"Brad Paisley, et al"
0,2016,US,"McDonald v. West, et al.",Made in America,Made in America,Joel McDonald,"Kanye West, et al."
0,2016,US,"[INPLAY] Alisa Apps v. Universal Music, et al.",Need to Know,Love Me Again,Alisa Apps,John Newman
0,2016,US,[INPLAY] Arnett v. Alan Jackson & Sony Music,Remember Me,Remember When,Timothy Arnett,Alan Jackson
0,2016,US,"[INPLAY] BMG v. Atlantic Recording Organization, et al.",Came to Do,Post to Be,"Joseph Bereal, et al.","Omari Ishmael Grandberry, aka “Omarion”"
0,2016,US,"[INPLAY] Eric Smith, et al. v. Amanda Jiroux, et al.",No Rain,Insane,"Eric  Smith, et al.",Amanda Jiroux
0,2016,US,"[INPLAY] Gabor Presser v. Kanye West, et al.",Gyongyhaju Lany,New Slaves,Gabor Presser & Anna Adamis,Kanye West
0,2016,US,"[INPLAY] Mattie Music Group v. Lamar, Warner/Chappell, et al.",Don't You Want to Stay,I Do This,"Bill Withers, et al.","Kendrick Lamar, et al."
0,2016,US,"[INPLAY] McElroy, et al. v. Eriksen, et al.",Why You Treat Me So Bad,I'm Worth It,"Thomas McElroy, Denzil Delano, Jay King","Mikkel Eriksen, et al."
0,2016,US,"[INPLAY] Songs Music Publishing v. Porsche, et al.",Jungle,Advertisement for Porsche’s Cayman 718 automobile,Members of  the band “X Ambassadors”,Cramer-Krasselt advertising agency
0,2016,US,"[INPLAY] Yours, Mine & Ours v. Sony, et al.",Young Girls,Uptown Funk,Members of  “electro-funk” band Collage,Peter Hernandez (“Bruno Mars”) et al.
0,2016,US,"[INPLAY] Estate of Armetia Chatmon v. Eric Clapton, et al.","Corrine, Corrina","Alberta, Alberta",Public domain blues number performed by Bo Carter (Chatmon),Public domain blues number performed by Eric Clapton
0,2016,US,"[INPLAY] Miller, et al. dba “Sleigh Bells” v. Demi Lovato",Infinity Guitars,Stars,“Sleigh Bells” [band],Demi Lovato
0,2016,US,"[INPLAY] Griffin v. Sheeran, et al.",Let's Get It On,Thinking Out Loud,Marvin Gaye,"Amy Wadge, Ed Sheeran"
0,2016,US,"[INPLAY] Greggs v. Grande, et al.",Takes All Night,One Last Time,Alex Greggs,Ariana Grande
0,2016,US,"[INPLAY] HaloSongs, Inc., Martin Harrington, Thomas Leonard v. Ed Sheeran, et al.",Amazing,Photograph,Martin Harrington & Thomas Leonard,Ed Sheeran & John McDaid
0,2016,US,"[INPLAY] Darlene Love v. Scripps Network, Inc.",Christmas (Baby Please Come Home),,"Jeff Barry, et al.",
0,2016,US,"[INPLAY] Casey Dienel v. Justin Bieber, et al.",Ring the Bell,Sorry,Casey Dienel,"Julia Michael, Justin Tranter, Justin Bieber, Thomas Pentz, et al."
0,2016,US,"[INPLAY] Cirque du Soleil v. Justin Timberlake, et al.",Steel Dream,Don't Hold the Wall,Cirque du Soleil,"Justin Timberlake, et al."
0,2016,US,"[INPLAY] PK Music v. Justin Timberlake, et al.",A New Day is Here at Last,Damn Girl,Perry Kibble,"Justin Timberlake, et al."
0,2017,US,Estate of James Oscar Smith v. Cash Money Records,Jimmy Smith Rap,Pound Cake,Jimmy Smith,"Aubrey Drake Graham aka ""Drake"""
0,2017,US,"Marcus Gray, et al. v. Katy Perry",Joyful Noise,Dark Horse,"Marcus Gray, et al.",Katy Perry
0,2017,US,"Parker, et al. v. Winwood, et al.",Ain't That a Lot of Loving,Gimmee Some Lovin,Willia Dean Parker & Homer Banks,"Mervyn Winwood, et al."
0,2017,US,Roberts v. Gordy,Hustlin,Party Rock Anthem,"Wiliam Roberts, Andrew Harr, Jermaine Jackson","Stefan & Skyler Gordy (""LMFAO"")"
0,2017,US,Mitchell v. Priority Records,Star in the Ghetto,If It Ain't Ruff,Leroy Mitchell,"Andre Young( ""Dr. Dre"")"
0,2017,NZ,Eight Mile Style v. New Zealand National Party,Lose Yourself,Eminem Esque,"Marshall Mathers, et al.",Michael Cohen
0,2017,US,[INPLAY] Abdul Muhammad v. Chancellor Bennett,Bridge Through Time,Windows,Abdul Muhammad (Erik Saunders),Chancellor Bennett (“Chance Rapper”)
0,2017,US,"[INPLAY] Lastrada Entertainment v. Mark Ronson, et al.",More Bounce to the Ounce,Uptown Funk,Roger Troutman,Mark Ronson
0,2017,US,"[INPLAY] Enclosed Music v. James Steinman, et al.",[I’d do] Anything for You,I’d do Anything for Love,"Jon Dunmore, Mike Molina",James Steinman
0,2017,US,"[INPLAY] Batiste v. Ben Haggerty (aka “Macklemore”), et al.",Hip Jazz; World of Blues; Salsa 4 Elise; I Got the Rhythm On,Thrift Shop; Neon Cathedral,Paul Batiste,"Ben Haggerty (""Macklemore"")"
0,2017,US,"[INPLAY] Sean Hall, et al. v. Taylor Swift, et al.",Playas Gon’ Play,Shake It Off,Sean Hall,Taylor Swift
0,2017,US,"[INPLAY] Barre v. Beyoncé Knowles Carter, Sony Music, et al.",Booking the Hoes from New Wildings; A 27 Piece Huh?,Formation,Anthony Barre aka “Messy Mya”,Beyoncé Knowles Carter
0,2017,US,"[INPLAY] Golden Crown Publishing v. Sony Music, Jonathan Smithy [aka “Lil’ Jon”], et al.",Turn Down for What?,Turn Down for What?,"Fredley Saurel [aka “Freddy GZ”], et al.","Jonathan Smith [aka Lil’ Jon”], et al."
0,2017,US,[INPLAY] Joel Bosh v. Univision Communications,Yo Soy Boricua,Advertisement for Spanish language Sesame Street,Joel Bosh,Univision
0,2017,US,"[INPLAY] Paul Rose v. Paul David Hewson, aka “Bono”, et al.",Nae Slappin',The Fly,Paul Rose,"Paul Hewson, aka “Bono”, et al."
0,2018,US,"Abiodun Oyewole v. Rita Ora, et al.",When the Revolution Comes,How We do Party; Party and Bullshit; Calm Down,Abiodun Oyewole,Rita Ora; Christopher Wallace; Marshall Mathers & Trevor Smith
0,2018,US,"Wilson v. Dynatone Pub., et al.",Sho' Nuff,Suit & Tie,"John Wilson, Charles Still, Terrance Stubbs",Justin Timberlake
0,2018,US,"Cortes-Ramos v. Enrique Martin-Morales (""Ricky Martin"")",World Cup Song Contest Entry,Vida,Luis Cortes-Ramos,Ricky Martin
0,2018,US,"Fahmy v. Jay Z, et al.","Khosara, Khosara",Big Pimpin',Baligh Hamdi,"Jay Z, et al."
0,2018,US,"Pharrell Williams, et al. v. Frankie Gaye, et al.",Got to Give it Up,Blurred Lines,Marvin Gaye,"Robin Thicke, Pharrell Williams"
0,2018,US,"[INPLAY] Lela Weems v. Odd Future Records, et al.",Why Can't There Be Love,Deathcamp,Herman Weems,Tyler Okonma
0,2018,US,"[INPLAY] Michael May v. Miley Ray Cyrus, et al.",We Run Things,We Can't Stop,Michael May,Miley Ray Cyrus
0,2018,US,[INPLAY] Platinum Jack Entertainment v. ESPN and Chick-Fil-A,Best I Had,Ads Aired on ESPN,Drayter [Band],Chick-Fil-A Advertising Agency
0,2018,US,[INPLAY] Carey v. Sheeran,When I Found You,The Rest of Our Life,"Sean Carey, Beau Golden, Jasmine Rae",Edward Sheeran
0,2018,US,"[INPLAY] Jamie Ciero v. Disney, et al.",Volar,Let It Go,Jamie Ciero,Disney
0,2018,US,[INPLAY] Tracy Chapman v. Nicki Minaj,Baby Can I Hold You,Sorry,Tracy Chapman,Nicki Minaj ft. Nas
0,2019,US,"[INPLAY] Andrew Green v. Kanye West, et al.",Video Recording of child praying ,Ultralight Beam,Alice T. Johnson and N.G (minor child)  ,Kanye West
0,2019,US,"[INPLAY] William Smith et al. v. ""The Weeknd""",I Need to Love,A Lonely Night,"William Smith, Brian Clover, Scott McCulloch",Abel M. Tesfaye (“The Weeknd”)
