,case,complaining,artist,title,link
1,Bridgeport Music v. Combs,False,Notorious B.I.G.,“Ready to Die”,https://blogs.law.gwu.edu/mcir/files/2018/12/readytodie-1zht92y.mp3
1,"[INPLAY] Barobax v. Chakraborty, et al.",False,“Soosan Khanoom”,“Soosan Khanoom”,https://blogs.law.gwu.edu/mcir/files/2018/12/PyaarKiPungi-2e34sdm.mp3
0,Ellis v. Diffie,False,“Lay Me Out By the Jukebox When I Die”,“Lay Me Out By the Jukebox When I Die”,https://blogs.law.gwu.edu/mcir/files/2018/12/propmeupbesidejukebox-2i70pg8.mp3
0,Brodsky v. Universal Pictures Company,True,Samuel Brodsky,“Prelude in A Major”,https://blogs.law.gwu.edu/mcir/files/2018/12/preludeinamajor-15g2klh.mp3
0,Positive Black Talk v. Cash Money Records,True,Jerome Temple “Jubilee”,“Back That Ass Up”,https://blogs.law.gwu.edu/mcir/files/2018/12/PosBlackPlaintiffWork-1m6yvoo.mp3
1,Positive Black Talk v. Cash Money Records,False,Terius Gray “Juvenile”,“Back That Azz Up”,https://blogs.law.gwu.edu/mcir/files/2018/12/PosBlackDefendingWork-1m8bfac.mp3
0,Armstrong v. Virgin Records,True,Mahavishnu Orchestra,“Planetary Citizen”,https://blogs.law.gwu.edu/mcir/files/2018/12/planetarycitizen-2j7ne52.mp3
0,"[INPLAY] Ebony Latrice Batts v. William Adams, et al. [“Black Eyed Peas”]",True,Ebony Latrice Batts aka “Phoenix Phenom”,“Boom Dynamite”,https://blogs.law.gwu.edu/mcir/files/2018/12/PhoenixPhenomBoomDynamite-1bue4hn.mp3
1,Repp v. Webber,False,“Till You”,“Till You”,https://blogs.law.gwu.edu/mcir/files/2018/12/phantomsong-1iy263b.mp3
1,Heim v. Universal Pictures,False,“Ma Este Meg Boldog Vagyok”,“Ma Este Meg Boldog Vagyok”,https://blogs.law.gwu.edu/mcir/files/2018/12/perhaps-1mr0qen.mp3
1,Santrayll v. Burrell,False,Stanley Kirk Burrell “The Hammer”,Pepsi Ad featuring “Hammer”,https://blogs.law.gwu.edu/mcir/files/2018/12/pepsiad-1c2k2hv.mp3
1,Newton v. Diamond,False,Beastie Boys,“Pass the Mic”,https://blogs.law.gwu.edu/mcir/files/2018/12/passthemic-2de8hf2.mp3
0,Jones v. Blige,True,Leonard Jones and James E. White,“Party Ain’t Crunk”,https://blogs.law.gwu.edu/mcir/files/2018/12/partyaintcrunk-10twt05.mp3
0,Palmieri v. Estefan,True,Eddie Palmieri,“Paginas De Mujer”,https://blogs.law.gwu.edu/mcir/files/2018/12/paginasdemujer-1vleldy.mp3
1,Palmieri v. Estefan,False,Gloria Estefan,“Oye Mi Canto”,https://blogs.law.gwu.edu/mcir/files/2018/12/oyemicanto-1rlrjfd.mp3
0,Ory v. Country Joe McDonald,True,Edward “Kid” Ory,“Muskrat Ramble”,https://blogs.law.gwu.edu/mcir/files/2018/12/OryPlaintiffWork-1ic2y0t.mp3
1,Ory v. Country Joe McDonald,False,Country Joe McDonald,“I Feel Like I’m Fixin’ to  Die Rag”,https://blogs.law.gwu.edu/mcir/files/2018/12/OryDefendantWork-19knor2.mp3
1,Darrell v. Joe Morris Music,False,"Sherman, Meskill, and Silver","Sherman, Meskill, and Silver",https://blogs.law.gwu.edu/mcir/files/2018/12/onthebeachatbalibali-13u7ssk.mp3
0,Moore v. Columbia Pictures,False,“She Can’t Stand It”,“She Can’t Stand It”,https://blogs.law.gwu.edu/mcir/files/2018/12/onourown-1s1zelh.mp3
0,Swirsky v. Carey,True,Seth Swirsky and Warryn Campbell,“One of Those Love Songs”,https://blogs.law.gwu.edu/mcir/files/2018/12/oneofthoselovesongs-2knf4eo.mp3
1,Overman v. Loesser,False,Frank Loesser,Frank Loesser,https://blogs.law.gwu.edu/mcir/files/2018/12/onaslowboattochina-224gdps.mp3
0,Allen v. Walt Disney,True,Wadsworth Doster,“Old Eli”,https://blogs.law.gwu.edu/mcir/files/2018/12/oldeli-1t8a12e.mp3
0,Campbell v. Acuff-Rose,True,Williams Dees and Roy Orbison,"“Oh, Pretty Woman”",https://blogs.law.gwu.edu/mcir/files/2018/12/ohprettywomanorbison-2i7d7dz.mp3
1,Campbell v. Acuff-Rose,False,"“Oh, Pretty Woman”","“Oh, Pretty Woman”",https://blogs.law.gwu.edu/mcir/files/2018/12/ohprettywomancampbell-1au4jgj.mp3
0,Norden v. Oliver Ditson,True,N. Lindsay Norden (arranger),“O Gladsome Light”,https://blogs.law.gwu.edu/mcir/files/2018/12/ogladsomelightnorden-16scgfb.mp3
1,Norden v. Oliver Ditson,False,Fisher (arranger),Fisher (arranger),https://blogs.law.gwu.edu/mcir/files/2018/12/ogladsomelightfisher-2kec03x.mp3
1,Jones v. Supreme Music,False,Francis Craig,Francis Craig,https://blogs.law.gwu.edu/mcir/files/2018/12/nearyou-2eaas8p.mp3
